Year,School_Name,School_Type,School_Category,Ownership_Type,Classes,Students
2014,"BbS ""O. v. Guericke"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,25,629
2014,"BbS ""H. Beims"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,25,305
2014,"BbS ""Eike v. Repgow"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,6,105
2014,"BbS ""Dr. O. Schlein"" Vollzeit",Vocational School (Full-Time),Vocational School System,Municipal,45,932
2014,Evangelische Sek.,Secondary School,General Education School System,Independent/Private,6,94
2014,Leipziger Straße,Primary School,General Education School System,Municipal,19,380
2014,Freie Waldorfschule,Waldorf School,General Education School System,Independent/Private,21,491
2014,Abendgymnasium,Evening Grammar School,Schools of Second Education Pathway (Adult Education),Municipal,3,32
2014,Kolleg,Adult Education College (Kolleg),Schools of Second Education Pathway (Adult Education),Municipal,9,161
2014,Abendsekundarschule,Evening Secondary School,Schools of Second Education Pathway (Adult Education),Municipal,3,75
2014,Domgrundschule,Primary School,General Education School System,Independent/Private,4,90
2014,Neue Schule,New School,General Education School System,Municipal,5,70
2014,A. - Einstein - Gymnasium (Außenstelle),Grammar School (Gymnasium),General Education School System,Municipal,6,124
2014,G.W.Leibniz Sek,Secondary School,General Education School System,Municipal,15,281
2014,W.Weitling Sek,Secondary School,General Education School System,Municipal,10,200
2014,O.Linke Sek,Secondary School,General Education School System,Municipal,12,267
2014,J.W.v.Goethe*,Community School,General Education School System,Municipal,2,42
2014,E.Wille Sek,Secondary School,General Education School System,Municipal,10,209
2014,A.W.Francke Sek,Secondary School,General Education School System,Municipal,12,257
2014,H.Heine Sek,Secondary School,General Education School System,Municipal,11,214
2014,Th.Mann Sek,Secondary School,General Education School System,Municipal,10,205
2013,Hegelstr.,Primary School,General Education School System,Municipal,7,122
2013,Weitlingstr.,Primary School,General Education School System,Municipal,8,146
2013,Im Nordpark,Primary School,General Education School System,Municipal,9,174
2013,Am Umfassungsweg,Primary School,General Education School System,Municipal,8,148
2013,An der Klosterwuhne,Primary School,General Education School System,Municipal,15,289
2013,Am Vogelgesang,Primary School,General Education School System,Municipal,10,225
2013,Am Kannenstieg,Primary School,General Education School System,Municipal,11,218
