Year,Institution,Origin,Students_Total,Students_Male,Students_Female,First_Semester_Total,First_Semester_Male,First_Semester_Female
2023,Magdeburg-Stendal University of Applied Sciences,Algeria,4,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Armenia,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Azerbaijan,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Ethiopia,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Australia,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Bangladesh,7,,,3,3,0
2023,Magdeburg-Stendal University of Applied Sciences,Belarus,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Belgium,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Burma,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Bolivia,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Bosnia and Herzegovina,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Brazil,3,0,3,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Bulgaria,4,4,0,,,
2023,Magdeburg-Stendal University of Applied Sciences,Burundi,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Chile,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,China,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Costa Rica,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Ecuador,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,El Salvador,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Eritrea,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Ivory Coast,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Estonia,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,France,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Gabon,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Georgia,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Gambia,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Ghana,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Greece,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,United Kingdom,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Guadeloupe,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Guinea,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Honduras,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Hong Kong,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,India,24,18,6,5,,
2023,Magdeburg-Stendal University of Applied Sciences,Indonesia,3,3,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Iraq,5,,,3,,
2023,Magdeburg-Stendal University of Applied Sciences,Iran,42,27,15,6,,
2023,Magdeburg-Stendal University of Applied Sciences,Iceland,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Italy,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Yemen,4,4,0,,,
2023,Magdeburg-Stendal University of Applied Sciences,Jordan,53,38,15,31,25,6
2023,Magdeburg-Stendal University of Applied Sciences,Cameroon,4,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Canada,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Kazakhstan,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Kenya,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Kyrgyzstan,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Colombia,4,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Korea,3,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Kosovo,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Kosovo (old),0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Croatia,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Cuba,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Latvia,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Lebanon,8,5,3,,,
2023,Magdeburg-Stendal University of Applied Sciences,Libya,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Liechtenstein,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Lithuania,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Luxembourg,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Malaysia,3,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Monaco,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Morocco,8,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Mauritius,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Mexico,3,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Mongolia,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Moldova,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Moldova,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Montenegro,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Nepal,9,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Netherlands,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Nigeria,16,,,5,,
2023,Magdeburg-Stendal University of Applied Sciences,Norway,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Austria,29,8,21,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Pakistan,10,10,0,,,
2023,Magdeburg-Stendal University of Applied Sciences,Palestinian Territories,8,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Peru,3,0,3,,,
2023,Magdeburg-Stendal University of Applied Sciences,Philippines,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Poland,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Portugal,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Romania,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Russia,19,5,14,7,,
2023,Magdeburg-Stendal University of Applied Sciences,Saudi Arabia,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Sweden,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Switzerland,3,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Serbia,5,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Zimbabwe,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Slovakia,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Spain,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Sri Lanka,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Stateless,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Sudan,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Syria,53,44,9,14,10,4
2023,Magdeburg-Stendal University of Applied Sciences,Taiwan,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Tibet,22,11,11,3,0,3
2023,Magdeburg-Stendal University of Applied Sciences,Tajikistan,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Czech Republic,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Togo,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Tunisia,7,7,0,,,
2023,Magdeburg-Stendal University of Applied Sciences,Turkey,13,5,8,4,,
2023,Magdeburg-Stendal University of Applied Sciences,Ukraine,15,6,9,4,,
2023,Magdeburg-Stendal University of Applied Sciences,Hungary,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Unresolved/Unclear,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Uzbekistan,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,Venezuela,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,United States,,,,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,United Arab Emirates,,,,,,
2023,Magdeburg-Stendal University of Applied Sciences,United Kingdom,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Vietnam,6,3,3,,,
2023,Magdeburg-Stendal University of Applied Sciences,China,0,0,0,0,0,0
2023,Magdeburg-Stendal University of Applied Sciences,Belarus,0,0,0,0,0,0
2023,Otto von Guericke University Magdeburg,Saxony-Anhalt,3892,2357,1535,897,532,365
2023,Otto von Guericke University Magdeburg,German Citizenship outside Saxony-Anhalt,4425,0,0,0,0,0
2023,Otto von Guericke University Magdeburg,Afghanistan,11,,,,,
2023,Otto von Guericke University Magdeburg,Egypt,103,91,12,18,14,4
