Year,Statistical_District,Male,Female,Total
2022,Siedlung Birkenallee,386,411,797
2022,Agrarstraße,18,25,43
2022,Olvenstedter Röthe,593,578,1171
2022,Gneisenauring,2399,2573,4972
2022,Marktbreite,1094,1074,2168
2022,Sternbogen,1734,1652,3386
2022,Fliedergrund,209,228,437
2022,Düppler Mühle,375,391,766
2022,Bördegarten,19,34,53
2022,Krankenhaus Olvenstedt,0,0,0
2022,Damaschkeplatz,408,404,812
2022,Adelheidring,1218,1339,2557
2022,Schellheimerplatz,2633,2697,5330
2022,St.Pauli/Alexander-Puschkin-Straße,1711,1668,3379
2022,Olvenstedter Platz,3934,4252,8186
2022,Westernplan,2116,2365,4481
2022,Albert-Vater-Straße,89,71,160
2022,Fort V,80,88,168
2022,Schlachthof,111,123,234
2022,Westfriedhof,0,0,0
2022,Beimssiedlung,1405,1692,3097
2022,Spielhagensiedlung,911,1070,1981
2022,Pestalozzistraße,1200,1328,2528
2022,Schroteanger,981,1051,2032
2022,Marienstift,85,149,234
2022,Lindenweiler,1257,1433,2690
2022,Harsdorfer Berg,394,393,787
2022,Kümmelsberg,256,242,498
2022,Liebknechtstraße,388,362,750
2022,Alt Diesdorf,440,456,896
2022,Niederndodeleber Straße,601,616,1217
2022,Hohendodeleber Weg,773,753,1526
2022,Umspannwerk,142,119,261
2022,Junkerberg,0,0,0
2022,Sudenburger Bahnhof,14,17,31
2022,Am Glacis,335,337,672
2022,Jordanstraße,829,852,1681
2022,Wormser Platz,2277,2091,4368
2022,Fichtestraße/Ambrosiusplatz,1781,1670,3451
2022,Salzmannstraße,1268,1225,2493
2022,Kroatenhügel,1028,1259,2287
2022,Friedenshöhe,548,620,1168
2022,Fabriciusstraße,663,743,1406
2022,Otto-Richter-Straße,416,416,832
2022,Alt Ottersleben,1114,1146,2260
2022,Benneckenbeck,438,435,873
2022,Osterweddinger Siedlung,598,646,1244
2022,Frankefelde,1275,1313,2588
2022,Klein Ottersleben,398,394,792
2022,Thauberg,1171,1297,2468
2022,Halberstädter Chaussee,101,113,214
2022,Werner-von-Siemens-Ring,10,6,16
2022,Eulegraben,0,0,0
2022,Alt Lemsdorf,593,557,1150
2022,Kleiner Harz,261,297,558
2022,Goslarer Straße,76,75,151
2022,Ballenstedter Straße,167,165,332
2022,Helmholtzstraße,1839,1820,3659
2022,Kristallpalast,539,610,1149
2022,Semmelweisstraße,1342,1680,3022
2022,Fermersleber Weg,261,263,524
2022,Universitätsklinikum,87,162,249
2022,Schilfbreite,2921,3010,5931
2022,Insel,781,672,1453
2022,Alt Reform,936,1068,2004
2022,Quittenweg,898,1030,1928
2022,Neu Reform,2620,3265,5885
2022,Planeten- und SKL-Siedlung,720,714,1434
2022,Bördecenter,306,299,605
2022,Hopfengarten,921,947,1868
2022,Lindenhof,584,523,1107
2022,Fauler Grund,747,724,1471
2022,Flugplatz,. ,. ,8
2022,Großer Wiesengraben,5,0,5
2022,Engpaß,2044,1908,3952
2022,Bleckenburgstraße/Jahnring,906,1015,1921
2022,Klosterbergegarten,0,0,0
2022,Gewerbegebiet Buckau,293,316,609
2022,Siedlung Fermersleben,1094,1047,2141
2022,Alt Fermersleben,779,683,1462
2022,Salbker Seen,4,4,8
2022,Alt Salbke,688,573,1261
2022,Unterhorstweg,853,811,1664
2022,Gewerbegebiet Salbke,23,22,45
2022,Lüttgen-Salbke,615,615,1230
2022,Friedrich-List-Straße,. ,. ,10
2022,Am Spionskopf,173,146,319
2022,Fahlberg List,0,0,0
2022,Sohlener Berge,. ,. ,4
2022,Alt Westerhüsen,466,428,894
2022,Wohngebiet Welsleber Straße,533,523,1056
2022,Gewerbegebiet Welsleber Straße,153,167,320
2022,Westerhüsener Park,465,490,955
2022,Neue Siedlung,68,76,144
2022,Frohser Berg,. ,. ,5
2022,Heumarkt,602,600,1202
2022,Dessauer Straße,962,1071,2033
2022,Gübser Weg,112,104,216
2022,Steinwiese,330,316,646
2022,Puppendorf,277,281,558
2022,Neugrüneberg,379,389,768
2022,Stadion Neue Welt,12,8,20
2022,Friedensweiler,172,181,353
2022,Berliner Chaussee,20,19,39
2022,Alt Cracau,1594,1723,3317
2022,Siedlung Cracau,1597,1718,3315
2022,Wiesengrund/Zur Pappel,669,737,1406
2022,Stadion,16,8,24
2022,Prester,1043,1022,2065
